"roomType","numOfRooms","customerName","customerTel","channel","unitPrice","checkInDate","checkOutDate"
"DOUBLE","5","c67","13785763205","TELEPHONE","200.0","2015/11/12","2015/11/15"
"TWIN","1","c949","15929814274","OFFICIAL_WEBSITE","200.0","2015/11/12","2015/11/13"
"TRIPLE","3","c520","13268977645","_3RD_PARTY_WEBSITE","210.0","2015/11/12","2015/11/13"
"SUITE","3","c573","13346244557","_3RD_PARTY_WEBSITE","300.0","2015/11/12","2015/11/15"
"SINGLE","4","c924","15183755114","OFFICIAL_WEBSITE","230.0","2015/11/09","2015/11/12"
"SEMIDOUBLE","2","c985","18745010853","TRAVEL_AGENT","190.0","2015/11/09","2015/11/10"
"DOUBLE","4","c643","1578461060","TELEPHONE","200.0","2015/11/09","2015/11/10"
"TWIN","4","c717","13364842321","OFFICIAL_WEBSITE","200.0","2015/11/09","2015/11/12"
"TRIPLE","3","c331","13752215750","TRAVEL_AGENT","210.0","2015/11/09","2015/11/11"
"SUITE","5","c356","15378842210","TELEPHONE","300.0","2015/11/09","2015/11/12"
"SINGLE","1","c275","13247045916","OFFICIAL_WEBSITE","230.0","2015/11/06","2015/11/07"
"SEMIDOUBLE","2","c809","13724652000","TELEPHONE","190.0","2015/11/06","2015/11/07"
"DOUBLE","3","c784","15267030595","OTHERS","200.0","2015/11/06","2015/11/07"
"TWIN","2","c980","13714781965","OTHERS","200.0","2015/11/06","2015/11/07"
"TRIPLE","5","c9","15676639457","TELEPHONE","210.0","2015/11/06","2015/11/07"
"SUITE","2","c455","13559634762","TELEPHONE","300.0","2015/11/06","2015/11/08"
"SINGLE","2","c547","13537581245","OFFICIAL_WEBSITE","230.0","2015/11/03","2015/11/05"
"SEMIDOUBLE","3","c591","15672473375","OFFICIAL_WEBSITE","190.0","2015/11/03","2015/11/05"
"DOUBLE","4","c664","13398621585","OTHERS","200.0","2015/11/03","2015/11/06"
"TWIN","3","c655","15041400670","_3RD_PARTY_WEBSITE","200.0","2015/11/03","2015/11/06"
"TRIPLE","4","c305","15144885251","TELEPHONE","210.0","2015/11/03","2015/11/06"
"SUITE","4","c232","13669305199","_3RD_PARTY_WEBSITE","300.0","2015/11/03","2015/11/04"
"SINGLE","5","c859","13736963259","TELEPHONE","230.0","2015/10/31","2015/11/03"
"SEMIDOUBLE","4","c389","13755832751","OTHERS","190.0","2015/10/31","2015/11/03"
"DOUBLE","3","c150","15653229974","TELEPHONE","200.0","2015/10/31","2015/11/01"
"TWIN","4","c26","13639542266","OTHERS","200.0","2015/10/31","2015/11/03"
"TRIPLE","1","c137","15920317185","OFFICIAL_WEBSITE","210.0","2015/10/31","2015/11/01"
"SUITE","4","c980","13827413072","TELEPHONE","300.0","2015/10/31","2015/11/03"
"SINGLE","1","c257","13850080873","OTHERS","230.0","2015/10/28","2015/10/30"
"SEMIDOUBLE","3","c228","13135994524","OTHERS","190.0","2015/10/28","2015/10/31"
"DOUBLE","5","c393","15275838678","_3RD_PARTY_WEBSITE","200.0","2015/10/28","2015/10/29"
"TWIN","2","c852","13411111832","TELEPHONE","200.0","2015/10/28","2015/10/30"
"TRIPLE","5","c244","13773178015","TRAVEL_AGENT","210.0","2015/10/28","2015/10/29"
"SUITE","3","c28","13932167893","_3RD_PARTY_WEBSITE","300.0","2015/10/28","2015/10/31"
"SINGLE","3","c295","15012761153","TELEPHONE","230.0","2015/10/25","2015/10/27"
"SEMIDOUBLE","3","c78","13416531423","OFFICIAL_WEBSITE","190.0","2015/10/25","2015/10/28"
"DOUBLE","5","c266","1802757457","OFFICIAL_WEBSITE","200.0","2015/10/25","2015/10/27"
"TWIN","1","c404","15057590918","OTHERS","200.0","2015/10/25","2015/10/27"
"TRIPLE","1","c501","15891961752","TELEPHONE","210.0","2015/10/25","2015/10/28"
"SUITE","4","c475","13779853887","OTHERS","300.0","2015/10/25","2015/10/28"
"SINGLE","5","c304","15733816902","OTHERS","230.0","2015/10/22","2015/10/25"
"SEMIDOUBLE","1","c553","13388496561","TELEPHONE","190.0","2015/10/22","2015/10/25"
"DOUBLE","5","c363","13221130180","TRAVEL_AGENT","200.0","2015/10/22","2015/10/23"
"TWIN","1","c901","1535022061","TRAVEL_AGENT","200.0","2015/10/22","2015/10/25"
"TRIPLE","1","c57","13893397705","TELEPHONE","210.0","2015/10/22","2015/10/23"
"SUITE","1","c562","15210432309","TRAVEL_AGENT","300.0","2015/10/22","2015/10/23"
"SINGLE","2","c599","1347246685","TELEPHONE","230.0","2015/10/19","2015/10/22"
"SEMIDOUBLE","3","c547","15939426376","_3RD_PARTY_WEBSITE","190.0","2015/10/19","2015/10/22"
"DOUBLE","2","c865","15340260755","OTHERS","200.0","2015/10/19","2015/10/21"
"TWIN","5","c562","18042260301","OFFICIAL_WEBSITE","200.0","2015/10/19","2015/10/20"
"TRIPLE","4","c687","13316640124","TELEPHONE","210.0","2015/10/19","2015/10/21"
"SUITE","4","c155","13440677368","TRAVEL_AGENT","300.0","2015/10/19","2015/10/21"
"SINGLE","1","c502","13394707406","TELEPHONE","230.0","2015/10/16","2015/10/18"
"SEMIDOUBLE","2","c797","18068750850","_3RD_PARTY_WEBSITE","190.0","2015/10/16","2015/10/18"
"DOUBLE","4","c977","15381554475","OFFICIAL_WEBSITE","200.0","2015/10/16","2015/10/18"
"TWIN","2","c542","13349376162","TELEPHONE","200.0","2015/10/16","2015/10/19"
"TRIPLE","5","c786","15178784285","TRAVEL_AGENT","210.0","2015/10/16","2015/10/17"
"SUITE","4","c869","15148783160","TRAVEL_AGENT","300.0","2015/10/16","2015/10/18"
"SINGLE","2","c122","13832114689","TRAVEL_AGENT","230.0","2015/10/13","2015/10/16"
"SEMIDOUBLE","1","c67","13120913590","TELEPHONE","190.0","2015/10/13","2015/10/14"
"DOUBLE","2","c873","13334751511","_3RD_PARTY_WEBSITE","200.0","2015/10/13","2015/10/15"
"TWIN","3","c710","18933306298","TELEPHONE","200.0","2015/10/13","2015/10/16"
"TRIPLE","2","c105","15012812562","TRAVEL_AGENT","210.0","2015/10/13","2015/10/14"
"SUITE","2","c49","13834724570","OTHERS","300.0","2015/10/13","2015/10/16"
"SINGLE","4","c554","13079509687","OTHERS","230.0","2015/10/10","2015/10/13"
"SEMIDOUBLE","1","c327","15828367651","OTHERS","190.0","2015/10/10","2015/10/12"
"DOUBLE","3","c99","15260927910","OFFICIAL_WEBSITE","200.0","2015/10/10","2015/10/11"
"TWIN","3","c55","15337878185","OTHERS","200.0","2015/10/10","2015/10/12"
"TRIPLE","3","c172","13673331260","_3RD_PARTY_WEBSITE","210.0","2015/10/10","2015/10/11"
"SUITE","1","c313","13547509568","_3RD_PARTY_WEBSITE","300.0","2015/10/10","2015/10/13"
"SINGLE","5","c367","13891343777","OTHERS","230.0","2015/10/07","2015/10/08"
"SEMIDOUBLE","4","c791","13024461393","TELEPHONE","190.0","2015/10/07","2015/10/10"
"DOUBLE","1","c422","1892898406","OTHERS","200.0","2015/10/07","2015/10/08"
"TWIN","3","c8","18745405392","TRAVEL_AGENT","200.0","2015/10/07","2015/10/08"
"TRIPLE","2","c895","1877159118","OFFICIAL_WEBSITE","210.0","2015/10/07","2015/10/08"
"SUITE","2","c7","15129898322","TRAVEL_AGENT","300.0","2015/10/07","2015/10/08"
"SINGLE","4","c980","18015894966","TRAVEL_AGENT","230.0","2015/10/04","2015/10/05"
"SEMIDOUBLE","2","c881","1598902979","TELEPHONE","190.0","2015/10/04","2015/10/06"
"DOUBLE","1","c360","13383745816","TELEPHONE","200.0","2015/10/04","2015/10/05"
"TWIN","4","c931","15560480573","_3RD_PARTY_WEBSITE","200.0","2015/10/04","2015/10/05"
"TRIPLE","1","c243","15970920242","OTHERS","210.0","2015/10/04","2015/10/07"
"SUITE","4","c362","15833413500","TRAVEL_AGENT","300.0","2015/10/04","2015/10/06"
"SINGLE","3","c37","15044164940","TELEPHONE","230.0","2015/10/01","2015/10/02"
"SEMIDOUBLE","2","c869","15888848246","TELEPHONE","190.0","2015/10/01","2015/10/03"
"DOUBLE","2","c273","1591680159","_3RD_PARTY_WEBSITE","200.0","2015/10/01","2015/10/02"
"TWIN","3","c414","18998881936","_3RD_PARTY_WEBSITE","200.0","2015/10/01","2015/10/02"
"TRIPLE","1","c984","1322575577","TRAVEL_AGENT","210.0","2015/10/01","2015/10/03"
"SUITE","3","c607","15530553587","TELEPHONE","300.0","2015/10/01","2015/10/04"
"SINGLE","2","c190","15099741510","TELEPHONE","230.0","2015/09/28","2015/10/01"
"SEMIDOUBLE","5","c591","13455076997","TELEPHONE","190.0","2015/09/28","2015/09/29"
"DOUBLE","2","c426","15827519505","TELEPHONE","200.0","2015/09/28","2015/09/29"
"TWIN","3","c372","13499928060","TRAVEL_AGENT","200.0","2015/09/28","2015/09/29"
"TRIPLE","4","c526","15574168624","_3RD_PARTY_WEBSITE","210.0","2015/09/28","2015/09/30"
"SUITE","1","c755","18082504469","OFFICIAL_WEBSITE","300.0","2015/09/28","2015/09/29"
"SINGLE","3","c103","15387568998","OFFICIAL_WEBSITE","230.0","2015/09/25","2015/09/28"
"SEMIDOUBLE","1","c602","13175813354","_3RD_PARTY_WEBSITE","190.0","2015/09/25","2015/09/26"
"DOUBLE","2","c230","15275570666","OTHERS","200.0","2015/09/25","2015/09/27"
"TWIN","3","c560","13578304361","TELEPHONE","200.0","2015/09/25","2015/09/28"
"TRIPLE","1","c779","13883404590","TELEPHONE","210.0","2015/09/25","2015/09/27"
"SUITE","2","c435","18790615528","TRAVEL_AGENT","300.0","2015/09/25","2015/09/27"
"SINGLE","1","c435","13650000066","TRAVEL_AGENT","230.0","2015/09/22","2015/09/24"
"SEMIDOUBLE","3","c8","18268489694","TRAVEL_AGENT","190.0","2015/09/22","2015/09/24"
"DOUBLE","2","c784","1822028895","TELEPHONE","200.0","2015/09/22","2015/09/24"
"TWIN","1","c904","13078879669","TRAVEL_AGENT","200.0","2015/09/22","2015/09/25"
"TRIPLE","2","c262","13241230089","TRAVEL_AGENT","210.0","2015/09/22","2015/09/24"
"SUITE","2","c22","18030750916","OFFICIAL_WEBSITE","300.0","2015/09/22","2015/09/23"
"SINGLE","3","c598","1807189588","OFFICIAL_WEBSITE","230.0","2015/09/19","2015/09/22"
"SEMIDOUBLE","4","c366","13534487136","OFFICIAL_WEBSITE","190.0","2015/09/19","2015/09/21"
"DOUBLE","4","c811","13327155663","TELEPHONE","200.0","2015/09/19","2015/09/21"
"TWIN","1","c727","15066700570","TELEPHONE","200.0","2015/09/19","2015/09/20"
"TRIPLE","3","c626","1568249735","_3RD_PARTY_WEBSITE","210.0","2015/09/19","2015/09/20"
"SUITE","3","c242","18738714124","TRAVEL_AGENT","300.0","2015/09/19","2015/09/22"
"SINGLE","1","c998","15689791915","TRAVEL_AGENT","230.0","2015/09/16","2015/09/19"
"SEMIDOUBLE","3","c483","15375959124","OFFICIAL_WEBSITE","190.0","2015/09/16","2015/09/19"
"DOUBLE","2","c969","18271466070","TRAVEL_AGENT","200.0","2015/09/16","2015/09/17"
"TWIN","1","c804","18744170154","TRAVEL_AGENT","200.0","2015/09/16","2015/09/18"
"TRIPLE","3","c294","13867642737","TRAVEL_AGENT","210.0","2015/09/16","2015/09/18"
"SUITE","2","c274","13428877846","OFFICIAL_WEBSITE","300.0","2015/09/16","2015/09/17"
"SINGLE","1","c402","1342588351","OFFICIAL_WEBSITE","230.0","2015/09/13","2015/09/15"
"SEMIDOUBLE","1","c664","13962908611","OTHERS","190.0","2015/09/13","2015/09/16"
"DOUBLE","5","c507","1359206267","_3RD_PARTY_WEBSITE","200.0","2015/09/13","2015/09/14"
"TWIN","1","c744","18995514359","TELEPHONE","200.0","2015/09/13","2015/09/16"
"TRIPLE","2","c720","13363039268","OFFICIAL_WEBSITE","210.0","2015/09/13","2015/09/15"
"SUITE","2","c641","13392826924","TELEPHONE","300.0","2015/09/13","2015/09/15"
"SINGLE","4","c823","1561619169","OTHERS","230.0","2015/09/10","2015/09/13"
"SEMIDOUBLE","1","c810","18086505792","_3RD_PARTY_WEBSITE","190.0","2015/09/10","2015/09/12"
"DOUBLE","1","c654","15570111496","TELEPHONE","200.0","2015/09/10","2015/09/11"
"TWIN","1","c309","13879557327","_3RD_PARTY_WEBSITE","200.0","2015/09/10","2015/09/11"
"TRIPLE","2","c641","18925681474","_3RD_PARTY_WEBSITE","210.0","2015/09/10","2015/09/12"
"SUITE","3","c520","13299139754","OTHERS","300.0","2015/09/10","2015/09/12"
"SINGLE","4","c258","13299562961","OFFICIAL_WEBSITE","230.0","2015/09/07","2015/09/10"
"SEMIDOUBLE","2","c685","15657076841","_3RD_PARTY_WEBSITE","190.0","2015/09/07","2015/09/10"
"DOUBLE","4","c574","13451865209","TRAVEL_AGENT","200.0","2015/09/07","2015/09/08"
"TWIN","3","c921","13645318436","OTHERS","200.0","2015/09/07","2015/09/08"
"TRIPLE","4","c755","13928269188","TRAVEL_AGENT","210.0","2015/09/07","2015/09/10"
"SUITE","5","c354","13518452551","TELEPHONE","300.0","2015/09/07","2015/09/08"
"SINGLE","5","c815","15190839272","OTHERS","230.0","2015/09/04","2015/09/06"
"SEMIDOUBLE","5","c507","15866164875","TELEPHONE","190.0","2015/09/04","2015/09/05"
"DOUBLE","3","c699","18963702157","TRAVEL_AGENT","200.0","2015/09/04","2015/09/05"
"TWIN","3","c362","1589597193","_3RD_PARTY_WEBSITE","200.0","2015/09/04","2015/09/05"
"TRIPLE","2","c462","15649610162","_3RD_PARTY_WEBSITE","210.0","2015/09/04","2015/09/06"
"SUITE","3","c561","13373741681","OTHERS","300.0","2015/09/04","2015/09/05"
"SINGLE","4","c847","15755848309","_3RD_PARTY_WEBSITE","230.0","2015/09/01","2015/09/04"
"SEMIDOUBLE","2","c489","18744717920","TELEPHONE","190.0","2015/09/01","2015/09/04"
"DOUBLE","4","c610","15339179129","OFFICIAL_WEBSITE","200.0","2015/09/01","2015/09/02"
"TWIN","2","c186","18721255640","_3RD_PARTY_WEBSITE","200.0","2015/09/01","2015/09/03"
"TRIPLE","4","c394","15719513514","_3RD_PARTY_WEBSITE","210.0","2015/09/01","2015/09/03"
"SUITE","4","c985","13080566481","TRAVEL_AGENT","300.0","2015/09/01","2015/09/02"
"SINGLE","2","c167","13411520037","OFFICIAL_WEBSITE","230.0","2015/08/29","2015/09/01"
"SEMIDOUBLE","4","c265","13394012404","_3RD_PARTY_WEBSITE","190.0","2015/08/29","2015/08/31"
"DOUBLE","2","c278","15955429948","TELEPHONE","200.0","2015/08/29","2015/08/31"
"TWIN","1","c947","15656106608","OFFICIAL_WEBSITE","200.0","2015/08/29","2015/09/01"
"TRIPLE","2","c591","13334616477","TELEPHONE","210.0","2015/08/29","2015/08/31"
"SUITE","2","c113","13794229229","_3RD_PARTY_WEBSITE","300.0","2015/08/29","2015/08/31"
"SINGLE","3","c468","13532735131","TELEPHONE","230.0","2015/08/26","2015/08/29"
"SEMIDOUBLE","1","c708","13859736997","TELEPHONE","190.0","2015/08/26","2015/08/28"
"DOUBLE","2","c309","18942726284","_3RD_PARTY_WEBSITE","200.0","2015/08/26","2015/08/29"
"TWIN","4","c30","13089201051","OFFICIAL_WEBSITE","200.0","2015/08/26","2015/08/27"
"TRIPLE","1","c904","13079085146","TELEPHONE","210.0","2015/08/26","2015/08/27"
"SUITE","1","c737","13533205483","_3RD_PARTY_WEBSITE","300.0","2015/08/26","2015/08/28"
"SINGLE","3","c732","15931534366","TELEPHONE","230.0","2015/08/23","2015/08/25"
"SEMIDOUBLE","2","c343","18083034184","TRAVEL_AGENT","190.0","2015/08/23","2015/08/26"
"DOUBLE","5","c518","15845672175","OTHERS","200.0","2015/08/23","2015/08/26"
"TWIN","5","c756","13944950925","TELEPHONE","200.0","2015/08/23","2015/08/26"
"TRIPLE","1","c309","15539639745","OTHERS","210.0","2015/08/23","2015/08/24"
"SUITE","4","c902","15071202418","_3RD_PARTY_WEBSITE","300.0","2015/08/23","2015/08/24"
"SINGLE","5","c448","13474503281","OFFICIAL_WEBSITE","230.0","2015/08/20","2015/08/23"
"SEMIDOUBLE","1","c238","15969965416","TELEPHONE","190.0","2015/08/20","2015/08/23"
"DOUBLE","5","c15","13960142565","TRAVEL_AGENT","200.0","2015/08/20","2015/08/23"
"TWIN","2","c783","15143461255","TELEPHONE","200.0","2015/08/20","2015/08/22"
"TRIPLE","1","c758","15684824409","OTHERS","210.0","2015/08/20","2015/08/22"
"SUITE","5","c219","15774752428","TELEPHONE","300.0","2015/08/20","2015/08/21"
"SINGLE","5","c462","13623295677","TRAVEL_AGENT","230.0","2015/08/17","2015/08/20"
"SEMIDOUBLE","1","c229","15696662952","TRAVEL_AGENT","190.0","2015/08/17","2015/08/18"
"DOUBLE","2","c757","13180193090","TELEPHONE","200.0","2015/08/17","2015/08/19"
"TWIN","4","c834","15077736859","OFFICIAL_WEBSITE","200.0","2015/08/17","2015/08/20"
"TRIPLE","5","c725","15760488957","_3RD_PARTY_WEBSITE","210.0","2015/08/17","2015/08/18"
"SUITE","5","c641","18023570536","_3RD_PARTY_WEBSITE","300.0","2015/08/17","2015/08/20"
"SINGLE","5","c26","15563102122","TRAVEL_AGENT","230.0","2015/08/14","2015/08/16"
"SEMIDOUBLE","5","c250","13744782665","OTHERS","190.0","2015/08/14","2015/08/15"
"DOUBLE","3","c564","1876075546","TELEPHONE","200.0","2015/08/14","2015/08/17"
"TWIN","1","c260","1557200138","OTHERS","200.0","2015/08/14","2015/08/16"
"TRIPLE","4","c588","18240299952","TRAVEL_AGENT","210.0","2015/08/14","2015/08/15"
"SUITE","2","c183","13333776475","OFFICIAL_WEBSITE","300.0","2015/08/14","2015/08/17"
"SINGLE","3","c467","18281044621","TRAVEL_AGENT","230.0","2015/08/11","2015/08/14"
"SEMIDOUBLE","3","c576","15347364295","TELEPHONE","190.0","2015/08/11","2015/08/14"
"DOUBLE","4","c478","15396132820","_3RD_PARTY_WEBSITE","200.0","2015/08/11","2015/08/13"
"TWIN","3","c227","15386966473","_3RD_PARTY_WEBSITE","200.0","2015/08/11","2015/08/13"
"TRIPLE","3","c686","15523646096","OFFICIAL_WEBSITE","210.0","2015/08/11","2015/08/12"
"SUITE","1","c84","13359656838","TELEPHONE","300.0","2015/08/11","2015/08/12"
"SINGLE","5","c419","13291748283","OFFICIAL_WEBSITE","230.0","2015/08/08","2015/08/10"
"SEMIDOUBLE","1","c94","15366309277","OFFICIAL_WEBSITE","190.0","2015/08/08","2015/08/11"
"DOUBLE","3","c968","1312531040","TELEPHONE","200.0","2015/08/08","2015/08/11"
"TWIN","4","c253","13527178146","TRAVEL_AGENT","200.0","2015/08/08","2015/08/10"
"TRIPLE","2","c937","15543083496","OTHERS","210.0","2015/08/08","2015/08/11"
"SUITE","1","c448","15164788658","OTHERS","300.0","2015/08/08","2015/08/09"
"SINGLE","3","c88","15613735930","TRAVEL_AGENT","230.0","2015/08/05","2015/08/08"
"SEMIDOUBLE","1","c742","15123840808","TELEPHONE","190.0","2015/08/05","2015/08/08"
"DOUBLE","2","c551","18290314628","OFFICIAL_WEBSITE","200.0","2015/08/05","2015/08/07"
"TWIN","3","c114","1335755766","OFFICIAL_WEBSITE","200.0","2015/08/05","2015/08/06"
"TRIPLE","1","c432","15691750752","OTHERS","210.0","2015/08/05","2015/08/07"
"SUITE","5","c202","18235578135","TELEPHONE","300.0","2015/08/05","2015/08/06"
"SINGLE","5","c384","15375308056","_3RD_PARTY_WEBSITE","230.0","2015/08/02","2015/08/05"
"SEMIDOUBLE","2","c369","15610057641","OFFICIAL_WEBSITE","190.0","2015/08/02","2015/08/03"
"DOUBLE","2","c921","15194815570","_3RD_PARTY_WEBSITE","200.0","2015/08/02","2015/08/03"
"TWIN","4","c893","13574979359","TELEPHONE","200.0","2015/08/02","2015/08/05"
"TRIPLE","2","c622","15279761999","_3RD_PARTY_WEBSITE","210.0","2015/08/02","2015/08/05"
"SUITE","3","c291","18735564828","TELEPHONE","300.0","2015/08/02","2015/08/05"
"SINGLE","2","c777","18994668181","OTHERS","230.0","2015/07/30","2015/07/31"
"SEMIDOUBLE","5","c167","15549716580","_3RD_PARTY_WEBSITE","190.0","2015/07/30","2015/08/01"
"DOUBLE","1","c592","15692215477","_3RD_PARTY_WEBSITE","200.0","2015/07/30","2015/08/01"
"TWIN","5","c921","1583032691","OFFICIAL_WEBSITE","200.0","2015/07/30","2015/08/02"
"TRIPLE","4","c53","1395075760","TRAVEL_AGENT","210.0","2015/07/30","2015/07/31"
"SUITE","5","c49","15696852280","TRAVEL_AGENT","300.0","2015/07/30","2015/07/31"
"SINGLE","4","c445","13824252027","_3RD_PARTY_WEBSITE","230.0","2015/07/27","2015/07/29"
"SEMIDOUBLE","2","c323","13525872869","TRAVEL_AGENT","190.0","2015/07/27","2015/07/29"
"DOUBLE","3","c448","1374792874","OFFICIAL_WEBSITE","200.0","2015/07/27","2015/07/29"
"TWIN","3","c295","15317970405","_3RD_PARTY_WEBSITE","200.0","2015/07/27","2015/07/29"
"TRIPLE","3","c279","15853534001","OFFICIAL_WEBSITE","210.0","2015/07/27","2015/07/29"
